event_id,filename,sentence_idx,sentence_text,n_trigger_words_in_sentence,trigger_words_in_sentence,n_trigger_words_in_event,trigger_words_in_event,event_text,ROCK,LOCATION,TIMESCALE,event_label,MINERAL,ORE_DEPOSIT,STRAT
a085941_c74_2004_2009a_10890700_4,a085941_c74_2004_2009a_10890700.json,4,"the tenure lies within the austin botanical district of the eremaean province which is characterised by extensive, typically dense woodland with open areas over granite and salt lakes.",1,extensive,1,extensive,"during december march summer temperatures are frequently above 400 c. the winter is cool and commonly below 200c during the day with occasional frosts in the coldest months from june to august. during winter easterly moving cold wet fronts are not uncommon. the tenure lies within the austin botanical district of the eremaean province which is characterised by extensive, typically dense woodland with open areas over granite and salt lakes. mulga (acacia aneura) is the dominant woodland species.",granite,austin,,0,"salt, frosts",,
a085941_c74_2004_2009a_10890700_7,a085941_c74_2004_2009a_10890700.json,7,"various types of gum trees (eucalyptus species) are found along creeks and in broad, sandy regions over granitoid rocks.",1,broad,2,"favourable, broad","mulga (acacia aneura) is the dominant woodland species. in stony areas less favourable to mulga the cassia and eremophila are larger and more abundant. various types of gum trees (eucalyptus species) are found along creeks and in broad, sandy regions over granitoid rocks. a variety of salttolerant plants, including salt bush (atriplex species) and bluebush (maireana species) occupy open areas around lake systems.",granitoid,,,0,salt,,
a085941_c74_2004_2009a_10890700_15,a085941_c74_2004_2009a_10890700.json,15,introduction structure stratigraphy the komatiite units and potential for nickel sulphide mineralisation gossans and ironstones from the jubilee and acra ultramafics gold regolith in the jubilee acra kalpini area and its implications for exploration conclusion.,2,"potential, mineralisation",2,"potential, mineralisation","likely strike parallel fault likely strike parallel fault dolerite basalt basalt and dolerite chert black shale chert ultramafic 50m wide talc carbonate. acra ultramafic thin discontinuous ultramafic narrow talc carbonate chert dolerite dolerite basalt chert dolerite basalt felsic volcaniclastic sediment stratigraphic lower (structural hangingwall) introduction structure stratigraphy the komatiite units and potential for nickel sulphide mineralisation gossans and ironstones from the jubilee and acra ultramafics gold regolith in the jubilee acra kalpini area and its implications for exploration conclusions the acra jubilee ultramafics occur to the south of a granite cored dome, but are not themselves folded around the dome.","basalt, black shale, dolerite, regolith, granite, chert, komatiite, ironstones, talc carbonate, gossans, volcaniclastic sediment",jubilee,,0,"sulphide, gold, nickel",,
a085941_c74_2004_2009a_10890700_54,a085941_c74_2004_2009a_10890700.json,54,a fixed loop step response survey was conducted at the acra dome and identified two broad scale conductors that warranted drill testing.,1,broad,1,broad,"detailed mapping of the jubilee stratigraphy covering the jubilee prospect north west strike extension was completed by robert perriam. several rock chip sampling exercises were completed in conjunction with mapping programs, assessing geochemical anomalies and to assist in assessing the regional stratigraphic correlation. a fixed loop step response survey was conducted at the acra dome and identified two broad scale conductors that warranted drill testing. a moving loop squid survey was conducted at kalpini ne and did not identify any significant anomalies.",,jubilee,,0,,,
a085941_c74_2004_2009a_10890700_79,a085941_c74_2004_2009a_10890700.json,79,the large area of orthocumulate located in the south western corner of the mapped area is flanked by a possible felsic volcanic rock.,1,possible,1,possible,the thicker of the vesicular occurrences may be related to the thicker cumulate zones mapped. no obvious footwall stratigraphy was observed in the mapping area. the large area of orthocumulate located in the south western corner of the mapped area is flanked by a possible felsic volcanic rock. the felsic rock is highly deformed as is the contact with the orthocumulate.,felsic volcanic rock,,,0,,,
a085941_c74_2004_2009a_10890700_85,a085941_c74_2004_2009a_10890700.json,85,the north south talc carbonate altered shear hosting the ni cu anomalism transects the stratigraphy and it is likely that the mineralisation represents structurally or hydrothermally remobilised nickel sulphides.,1,mineralisation,1,mineralisation,"the ni cu anomalism confined to the north south trending is open to the north where the stratigraphy becomes obscured by recent alluvial sediments and has limited southern continuation. the gross komatiite distribution indicates an east west striking package with a southern facing. the north south talc carbonate altered shear hosting the ni cu anomalism transects the stratigraphy and it is likely that the mineralisation represents structurally or hydrothermally remobilised nickel sulphides. 2009 annual technical report acra joint venture combined project 14 dips are mostly to the north and east, steep in the northern part, flattening to 40 to 60 in the jubileeacra area.","komatiite, talc carbonate, sediments",,,0,"sulphides, nickel",,
a085941_c74_2004_2009a_10890700_102,a085941_c74_2004_2009a_10890700.json,102,the chondrite normalised ree plot of the system 1 and system 2 ultramafic samples submitted also show a marked differentiation with the system 1 samples enriched in all ree relative to system 2 samples (figure 4.2.2.2).,1,enriched,1,enriched,ystem 1 was defined as having a relative ti enrichment in comparison to the system 2 ultramafic. the nickel sulphides within jbdd014 are situated within the system 1 ultramafic. the chondrite normalised ree plot of the system 1 and system 2 ultramafic samples submitted also show a marked differentiation with the system 1 samples enriched in all ree relative to system 2 samples (figure 4.2.2.2). at the time of writing this report the ree and elemental data was being analysed and interpreted by geochemist nigel brand.,,,,0,"sulphides, nickel",,
a085941_c74_2004_2009a_10890700_181,a085941_c74_2004_2009a_10890700.json,181,in particular to characterise the felsic volcanic breccia that forms the footwall to the nickel sulphide mineralisation in jbdd014.,1,mineralisation,1,mineralisation,total c and total s via method 2a leco. samples were submitted in an effort to characterise the lithological components of the acra jubilee area. in particular to characterise the felsic volcanic breccia that forms the footwall to the nickel sulphide mineralisation in jbdd014. this may assist in the identification of equivalent footwall units elsewhere in the acra jubilee area.,volcanic breccia,jubilee,,0,"sulphide, nickel",,
a085941_c74_2004_2009a_10890700_189,a085941_c74_2004_2009a_10890700.json,189,see figure 1.1.1 for broad rock chip sample locations and figure 4.2.1.1 for breakdown by sampling program.,1,broad,1,broad,"a total of 123 rock chip samples were collected from over the acra jv area (table 4.1.2.1) during the reporting period. the rock chips were collected as part of a regional mapping exercise, as follow up to identified soil anomalism as lithological support to mapping and as part of a program to correlate stratigraphic features of the area. see figure 1.1.1 for broad rock chip sample locations and figure 4.2.1.1 for breakdown by sampling program. rock chip samples were dispatched to als chemex laboratory for analysis of 48 elements by method me ms61.",,,,0,,,
a085941_c74_2004_2009a_10890700_200,a085941_c74_2004_2009a_10890700.json,200,during robert perriams mapping program potential gossanous ironstones were collected for analysis when encountered.,1,potential,1,potential,the location of the dhem surveys is displayed in figure 1.1.1. the dhem surveys were conducted by outer rim exploration using a crone down hole receiver. during robert perriams mapping program potential gossanous ironstones were collected for analysis when encountered. a total of 49 rock chips samples (figure 4.2.1.1) were submitted to als laboratories for analysis using the regional suite of 48 elements via method me ms61and pge analysis using method pgm ms23.,ironstones,,,0,,"pgm, pge",
a085941_c74_2004_2009a_10890700_232,a085941_c74_2004_2009a_10890700.json,232,"the area lies north of the lake yindarlgooda saline lake system and has a subdued topography, with isolated low hills surrounded by broad areas of colluvium and sheetwash.",1,broad,1,broad,"one high grade operational nickel mine, the mpi black silver swan nickel mine is located some 16 km sw of gindalbie station and 55km ne of kalgoorlie. in 2002 the mines mineral resource was quoted at 170 000t @ 9.2% ni with an additional 7.4mt of disseminated 0.8% ni sulphides. the area lies north of the lake yindarlgooda saline lake system and has a subdued topography, with isolated low hills surrounded by broad areas of colluvium and sheetwash. cyclonic rainfall from time to time fills the lake yindarlgooda and penny lake saline drainages making much of the area impassable and cutting off the kalpini road to traffic.","sheetwash, colluvium","kalgoorlie, gindalbie",,0,"silver, sulphides, nickel",,
a085941_c74_2004_2009a_10890700_251,a085941_c74_2004_2009a_10890700.json,251,a mlem squid survey was conducted to identify potential nickel sulphide targets with a cumulate ultramafic body located at the northern extent of e28 1223 (see figure 1.1.1 for location).,1,potential,1,potential,on 17th december 2008 the first 50% partial relinquishment of 31 blocks was completed for e27 273 with the second 50% partial relinquishment of 16 blocks completed on 8th december 2009. on 10th december 2008 the first 50% partial relinquishment of 19 blocks was completed for e27 278 with the second 50% partial relinquishment of 10 blocks completed on 8th december 2009. a mlem squid survey was conducted to identify potential nickel sulphide targets with a cumulate ultramafic body located at the northern extent of e28 1223 (see figure 1.1.1 for location). the survey consisted of a total of 93 stations over 4.4 line km (figure 4.4.2.1).,,,,0,"sulphide, nickel",,
a085941_c74_2004_2009a_10890700_255,a085941_c74_2004_2009a_10890700.json,255,the purpose was to investigate the area in the vicinity of the acra disseminated gossan for a potential bedrock sulphide body and to assess the acra dome using the step response technique.,1,potential,1,potential,"the survey was completed by outer rim exploration using a high temperature squid (b field sensor). a 473 station, 21.8 line km fixed loop step response em survey was conducted over the acra dome. the purpose was to investigate the area in the vicinity of the acra disseminated gossan for a potential bedrock sulphide body and to assess the acra dome using the step response technique. the survey was completed in two parts and utilised two separate loops.","gossan, bedrock",,,0,sulphide,,
a085941_c74_2004_2009a_10890700_278,a085941_c74_2004_2009a_10890700.json,278,"cherts are extensive in outcrop in the acra jubilee kalpini belt, and form useful markers in mapping.",1,extensive,1,extensive,"regolith mapping was not included in the contract, so no regolith map has been produced. there are problematic regolith situations in the area however, so an introduction to the regolith is provided, and regolith in the jubilee acra area illustrated by reference to appropriate imagery. cherts are extensive in outcrop in the acra jubilee kalpini belt, and form useful markers in mapping. they are often associated with felsic volcaniclastic sediments, and in places the felsic volcaniclastic sediment unit narrows and is represented along strike by a chert unit only.","regolith, cherts, chert, volcaniclastic sediments, volcaniclastic sediment",jubilee,,0,,,
a085941_c74_2004_2009a_10890700_282,a085941_c74_2004_2009a_10890700.json,282,"much of the magnetic pattern relates to somewhat fractionated dolerites, which may contain some magnetite, while extensive talc carbonate and quartz carbonate alteration of ultramafic rocks has destroyed much of their magnetic signature, so that ultramafic rocks often coincide with lows in the magnetic pattern.",1,extensive,2,"possible, extensive","it is possible that the cherts are a weathering product, and may represent sulphidic shales at depth. the magnetic patterns associated with the acra jubilee kalpini belt are confusing. much of the magnetic pattern relates to somewhat fractionated dolerites, which may contain some magnetite, while extensive talc carbonate and quartz carbonate alteration of ultramafic rocks has destroyed much of their magnetic signature, so that ultramafic rocks often coincide with lows in the magnetic pattern. silicate composition: dominant lithologies are olivine cumulate and talc carbonate derived from olivine cumulate.","dolerites, cherts, talc carbonate, shales",jubilee,,0,"carbonate, silicate, quartz, magnetite, olivine",,
a085941_c74_2004_2009a_10890700_287,a085941_c74_2004_2009a_10890700.json,287,sulphides: not possible to evaluate directly away from the drilled prospects because field observations were all on weathered materials.,1,possible,1,possible,"min_vs_barren_kom differences between contact mineralised and barren komatiites oxides: much of the jubilee and acra ultramafics are non magnetic where talc carbonate altered, implying that they have little or no coarse grained magmatic oxides (eg. chromite) which would create a magnetic signature after talc carbonate alteration. sulphides: not possible to evaluate directly away from the drilled prospects because field observations were all on weathered materials. trace elements: the widespread occurrence of pt and pd contents of over 10ppb in ironstone samples collected on the ultramafic formations indicates that disseminated nickel sulphide is probably widespread.","komatiites, ironstone, talc carbonate",jubilee,,0,"nickel, oxides, sulphides, sulphide, chromite",,
a085941_c74_2004_2009a_10890700_304,a085941_c74_2004_2009a_10890700.json,304,"6010542, with 69.8ppb pt and 84ppb pd may indicate medium grade nickel sulphide mineralization.",1,medium grade,1,medium grade,"the samples are from high in the weathering profile, and probably represent ferruginised caprock, with boxwork textures after olivine, but the number of samples with pt or pd>10ppm probably indicates that disseminated sulphide is widespread in the ultramafic in that area. the gossanous outcrops which they come from are internal to the ultramafic, but in the stratigraphically lower part, and could indicate disseminated mineralization. 6010542, with 69.8ppb pt and 84ppb pd may indicate medium grade nickel sulphide mineralization. 6010549 and 550 are from the same general area, but from the acra ultramafic (figure 4).",caprock,,,0,"sulphide, nickel, olivine",,
a085941_c74_2004_2009a_10890700_318,a085941_c74_2004_2009a_10890700.json,318,there are extensive cherty sediments (possible sulphidic shales below the weathering zone) associated with the contacts of the ultramafic formations.,2,"possible, extensive",2,"possible, extensive","ongoing target oriented exploration will require: em survey of all ultramafic formations. targetted drilling of em anomalies. there are extensive cherty sediments (possible sulphidic shales below the weathering zone) associated with the contacts of the ultramafic formations. these will create em conductors which will interfere with the exploration for ni sulphide, and require the selection of em conductors with long decay times.","shales, sediments",long,,0,sulphide,,
a085941_c74_2004_2009a_10890700_351,a085941_c74_2004_2009a_10890700.json,351,"parts of the project area are reasonably well exposed and have been mapped in some detail, but there are extensive tracts of laterite and palaeo channel sediments which prevent any mapping of the underlying geology.",1,extensive,1,extensive,"in particular the pinch and swell morphology of the ultramafic formations is consistent with a channel and spillover pattern flow field. ironstones with anomalous cu and ni, consistent with nickel sulphide gossan geochemistry were found associated with the jubilee ultramafic at jubilee, and in the nw bartons dam area. parts of the project area are reasonably well exposed and have been mapped in some detail, but there are extensive tracts of laterite and palaeo channel sediments which prevent any mapping of the underlying geology. some of these areas have only low resolution magnetic survey available.","gossan, laterite, ironstones, sediments",jubilee,,0,"sulphide, nickel",,
a085941_c74_2004_2009a_10890700_372,a085941_c74_2004_2009a_10890700.json,372,"jubilee ultramafic dolerite hornblende porphyry possibly related units found in the vicinity of the felsic porphyry felsic porphyry extensive network of dykes, often carbonate altered.",1,extensive,1,extensive,"magnesian basalt probable end stage komatiite. dolerite conformable olivine cumulate komatiite talc carb altered in vicinity of dyke. jubilee ultramafic dolerite hornblende porphyry possibly related units found in the vicinity of the felsic porphyry felsic porphyry extensive network of dykes, often carbonate altered. olivine cumulate komatiite talc carb altered in vicinity of dyke chert and black shale contact shale chert probably represents a time break in volcanism.","basalt, black shale, dolerite, chert, komatiite, shale, porphyry",jubilee,,0,"hornblende, carbonate, talc, olivine",,
a085941_c74_2004_2009a_10890700_377,a085941_c74_2004_2009a_10890700.json,377,along the northern most line the lithologies appeared to be strongly weathered amphibole rich ultramafic with an interflow chert and cherty sediments and possible felsic rock to the east.,1,possible,1,possible,an initial 10 rock chip samples (6010420 6010429) (figure 4.2.1.1) were taken to determine the nature of ultramafic rock associated with the ni cu soil anomaly at kalpini south. the north south anomaly is located on three separate geochemical traverses. along the northern most line the lithologies appeared to be strongly weathered amphibole rich ultramafic with an interflow chert and cherty sediments and possible felsic rock to the east. the southern most line contained weathered orthocumulate ultramafic scree and subcrop and confirms the presence of cumulate ultramafic facies in the area.,"chert, sediments",,,0,amphibole,,
a085941_c74_2004_2009a_10890700_414,a085941_c74_2004_2009a_10890700.json,414,"parts of the project area are reasonably well exposed and have been mapped in some detail, but there are extensive tracts of laterite and palaeo channel sediments which prevent any mapping of the underlying geology.",1,extensive,1,extensive,"the thicker zones of the jubilee and acra ultramafics are prospective for ni sulphide mineralization, showing: pinch and swell morphology, consistent with a channel and spillover flow field morphology. ironstones with anomalous cu and ni, consistent with nickel sulphide gossan geochemistry. parts of the project area are reasonably well exposed and have been mapped in some detail, but there are extensive tracts of laterite and palaeo channel sediments which prevent any mapping of the underlying geology. some of these areas have only low resolution magnetic survey available.","gossan, laterite, ironstones, sediments",jubilee,,0,"sulphide, nickel",,
a085941_c74_2004_2009a_10890700_417,a085941_c74_2004_2009a_10890700.json,417,the chain block hill mineralisation is hosted within what appears to be a zone of sheeted to stockwork type veining within heavily altered country rock.,1,mineralisation,1,mineralisation,some of these areas have only low resolution magnetic survey available. a hilltop gold occurrence worked by prospector david guise and referred to as chain block hill (402100e 6627700n amg84_51) was visited. the chain block hill mineralisation is hosted within what appears to be a zone of sheeted to stockwork type veining within heavily altered country rock. the hilltop exposure is entirely upper saprolite material and the original lithology likely a fine grained mafic rock.,"mafic rock, saprolite",,,0,gold,,
a085941_c74_2004_2009a_10890700_431,a085941_c74_2004_2009a_10890700.json,431,"the mapping (figure 4.1.2.1) was conducted at 1:10,000 and potential gossan sampling was conducted during the mapping exercise, collecting a total of 49 samples.",1,potential,1,potential,"regolith in the jubilee acra kalpini area robert perriam was commissioned to map the jubilee stratigraphy from the jubilee prospect north west up to the kalpini mine area (see appendix 5 for full report). the mapping (figure 4.1.2.1) was conducted at 1:10,000 and potential gossan sampling was conducted during the mapping exercise, collecting a total of 49 samples. the jubilee ultramafic stratigraphy was tied into and correlated with the acra stratigraphy previously mapped by rob hill.","gossan, regolith",jubilee,,0,,,
a085941_c74_2004_2009a_10890700_444,a085941_c74_2004_2009a_10890700.json,444,"however, it was noticed that there is very extensive carbonate alteration throughout the area mapped, and that there are numerous gold workings and extensive prospecting activity on sheds of nuggets near surface.",1,extensive,1,extensive,"the majority of faults in the jubilee area are sinuous and anastomosing and wedge some units in and out where they appear and disappear in the mapped geology. gold was not an objective of the present project and no work or sampling directed specifically at gold was done. however, it was noticed that there is very extensive carbonate alteration throughout the area mapped, and that there are numerous gold workings and extensive prospecting activity on sheds of nuggets near surface. the structural interpretation arrived at involves a sinuous fault zone associated with talc carbonate altered ultramafic rocks.",talc carbonate,jubilee,,0,"gold, carbonate",,
a085941_c74_2004_2009a_10890700_465,a085941_c74_2004_2009a_10890700.json,465,"partly stripped uplands, where the ancient weathered profiles have been partly removed, leaving extensive areas of saprolite exposure, and often inverted relief landscapes where cemented palaeo channel deposits, thicker and more resistant to erosion than the crusts on surrounding uplands, have been left forming hills, while former hills have been eroded to lower levels.",1,extensive,1,extensive,"the result of this extended history of deep weathering and erosion is a complex group of land surfaces and weathered profiles and deposits: stripped uplands, which were the highest areas in the region during the deep weathering event. they probably had weathered profiles developed on them, but they are the areas where erosion has been most active, and the weathered profiles have been eroded off, leaving hilly areas of fresh exposed rock, with little soil development and with recent drainage systems. partly stripped uplands, where the ancient weathered profiles have been partly removed, leaving extensive areas of saprolite exposure, and often inverted relief landscapes where cemented palaeo channel deposits, thicker and more resistant to erosion than the crusts on surrounding uplands, have been left forming hills, while former hills have been eroded to lower levels. recent drainage systems cross cut the ancient palaeo drainages.",saprolite,,,0,,,
a085941_c74_2004_2009a_10890700_474,a085941_c74_2004_2009a_10890700.json,474,"partly stripped uplands may have recent residual soils formed on ancient residually weathered profiles, in which case their chemistry (leaching, enrichement etc) will reflect that of the ancient weathered horizon from which they formed.",1,enrichement,1,enrichement,"gossans, where present will usually be easier to recognize, with well preserved textures and geochemistry ancient valleys and sheet wash plains usually have soil consisting of recent alluvium, which overlies and may be partly derived from ancient alluvial deposits, which may be tens of metres thick. the soils are a composite of materials from up valley, and their chemistry will not usually bear any relationship to immediately underlying residual material. partly stripped uplands may have recent residual soils formed on ancient residually weathered profiles, in which case their chemistry (leaching, enrichement etc) will reflect that of the ancient weathered horizon from which they formed. recent residual soils may also form on ancient palaeo channel deposits, in which case their chemistry is influenced by the transport processes which went on in the ancient landscape, moving material down ancient slopes and valleys, which may no longer be present in the landscape.","gossans, alluvium",,,0,,alluvial deposits,
a085941_c74_2004_2009a_10890700_496,a085941_c74_2004_2009a_10890700.json,496,during this reporting period jbdd015 was re entered and extended to a depth of 769.4m to attempt to intersect nickel sulphide mineralisation along strike and to gain a better understanding of the mineralised stratigraphy.,1,mineralisation,1,mineralisation,jbdd014 also intersected a thin zone of massive to matrix nickel sulphides at approximately 580m down hole on what appeared to be an intact basal contact with a felsic volcanic breccia footwall. during the same program jbdd015 was drilled to 484.4m. during this reporting period jbdd015 was re entered and extended to a depth of 769.4m to attempt to intersect nickel sulphide mineralisation along strike and to gain a better understanding of the mineralised stratigraphy. when jbdd015 was initially drilled it was ended in a leucoxcene bearing dolerite that became fine grained at the very end of hole.,"dolerite, volcanic breccia",,,0,"sulphide, sulphides, nickel",,
a085941_c74_2004_2009a_10890700_509,a085941_c74_2004_2009a_10890700.json,509,"the heterogeneous nature and morphology of the sulphides seems to indicate significant structural modification, though it is possible that the nickel sulphides have been entrained as the flow has passed over ponded sulphides deposited earlier in the flows history.",1,possible,1,possible,"the unit is overturned, with facing down hole. these ponded units are generally thought not to be overly prospective for nickel sulphides. the heterogeneous nature and morphology of the sulphides seems to indicate significant structural modification, though it is possible that the nickel sulphides have been entrained as the flow has passed over ponded sulphides deposited earlier in the flows history. then as the vent supply of lava has waned the flow has slowed and differentiation has occurred.",,,,0,"sulphides, nickel",,
a085941_c74_2004_2009a_10890700_519,a085941_c74_2004_2009a_10890700.json,519,"it is possible that some of the thinner dolerites in the succession may be the product of extreme static fractionation of stagnant komatiite lava, and are zones within komatiite flows.",1,possible,1,possible,"the jubilee ultramafic is most fully developed in the jubilee mine area (figures 3 and 4), where it is about 700m wide, with internal dolerites etc. diamond drilling in that area indicates that the ultramafic contains large amounts of breccia and vesicular zones in some flows, which may indicate that the ultramafic in that area was emplaced as a series of slow moving semi solid flow fronts, possibly impounding stagnant lava ponds. it is possible that some of the thinner dolerites in the succession may be the product of extreme static fractionation of stagnant komatiite lava, and are zones within komatiite flows. the jubilee ultramafic usually has a chert on its lower (hangingwall) contact.","breccia, dolerites, komatiite, chert",jubilee,,0,diamond,,
a081727_kb_el15-1004_2009a_16396655_5,a081727_kb_el15-1004_2009a_16396655.json,5,the initial review has highlighted a potential area of interest on the tenement.,1,potential,1,potential,hjh lodged a caveat on 28th july 2008 for an interest in 80 100 shares. an open file (wamex) search to locate work completed on the tenement by previous explorers began during the reporting period and is almost complete. the initial review has highlighted a potential area of interest on the tenement. a report by wmc resources ltd (wamex number a49291) outlined that in 1994 a low level airborne magnetic radiometric survey defined a significant magnetic high in an area previously interpreted as granitoid.,granitoid,,,0,,,
a081727_kb_el15-1004_2009a_16396655_14,a081727_kb_el15-1004_2009a_16396655.json,14,"from historic reports gathered to date, the most significant mineralisation defined on the exploration licence was from work completed by wmc resources ltd in 1995.",1,mineralisation,1,mineralisation,"appendix 1 soil and rock chip sample data there are no operating mines or known old workings on the tenement, however numerous previous explorers have conducted exploration programs within and adjacent to the tenement boundary. from historic reports gathered to date, the most significant mineralisation defined on the exploration licence was from work completed by wmc resources ltd in 1995. rc drilling beneath a 15ppb gold soil anomaly returned 2m @ 0.45 g t au.",,,,0,gold,,
a081727_kb_el15-1004_2009a_16396655_25,a081727_kb_el15-1004_2009a_16396655.json,25,exploration programs were aimed at exploring for and assessing the potential for all valuable commodities including industrial minerals.,1,potential,1,potential,"the tenement is situated approximately 45 km se of kambalda in the ne coolgardie and coolgardie gold field. granitoid, felsic volcanic volcaniclastic, felsic sedimentary and minor mafic and ultramafic lithologies are overlain in most of the tenement area by thin colluvium and quartz sheet wash cover. exploration programs were aimed at exploring for and assessing the potential for all valuable commodities including industrial minerals. however, the focus on e15 1004 is gold and nickel.","colluvium, granitoid","coolgardie, kambalda",,0,"quartz, gold, nickel",,
a081727_kb_el15-1004_2009a_16396655_66,a081727_kb_el15-1004_2009a_16396655.json,66,"given the extensive mining history of the region, this report will not go into detail on past regional mining and exploration.",1,extensive,1,extensive,"the region is rich in mined and current gold and nickel deposits, with major centres such as the city of kalgoorlie boulder and towns of kambalda, coolgardie and widgemooltha built on historic gold and later nickel rushes and most are still thriving today due to current mining of these commodities at depth. prospecting for alluvial gold is common and there are many small prospecting and mining licences to the west of the tenement as one heads towards widgemooltha. given the extensive mining history of the region, this report will not go into detail on past regional mining and exploration. the region to the north of the tenement has also been heavily explored for groundwater resources, to be used for the st. ives gold mine mill.",,"coolgardie, kalgoorlie, kambalda, boulder",,0,"alluvial gold, gold, nickel",nickel deposits,
a081727_kb_el15-1004_2009a_16396655_80,a081727_kb_el15-1004_2009a_16396655.json,80,exploration programs were aimed at exploring for and assessing the potential for all valuable commodities including industrial minerals.,1,potential,1,potential,"nw and n orientated faults with inferred oblique and dip slip movements have been recognised in the area. lithology consists of a n to nw trending succession of mafic and ultramafic volcanics and intrusives with thin, intercalated sedimentary units. exploration programs were aimed at exploring for and assessing the potential for all valuable commodities including industrial minerals. however, the focus on e15 1004 was for gold and nickel.",,,,0,"gold, nickel",,
a081727_kb_el15-1004_2009a_16396655_94,a081727_kb_el15-1004_2009a_16396655.json,94,"widgemooltha is the closest town available for accommodation, as kambalda is isolated to the north by extensive lake systems.",1,extensive,1,extensive,"local lithology and structure strikes n nw, with the exception of the ene trending binneringie dolerite to the south. a preliminary field visit was undertaken to assess current access, infrastructure and support requirements for exploration work. widgemooltha is the closest town available for accommodation, as kambalda is isolated to the north by extensive lake systems. reconnaissance included assessment of the adequacy of current geological mapping, geomorphology and regolith evolution in regard to lithology identification.","dolerite, regolith",kambalda,,0,,,
a081348_throssel e38_1648 annual report 2008 korab_15903489_13,a081348_throssel e38_1648 annual report 2008 korab_15903489.json,13,the western edge of the project covers a fundamental deep seated fault with a possible displacement of 7 km that forms the boundary between the yilgarn block and the officer basin (fig.2).,1,possible,2,"possible, potential","inna mudrovska, senior geologist, korab resources limited unit 6, level 1, 100 mill point rd, south perth, western australia, 6151 march 2008 throssell project is situated on the northeast margin of the yilgarn craton in wa. the western edge of the project covers a fundamental deep seated fault with a possible displacement of 7 km that forms the boundary between the yilgarn block and the officer basin (fig.2). this new interpretations of the possible boundary position for the yilgarn block present new exploration targets as it would appear that potential archaean lithologys may be at economically drillable depths.",,"yilgarn craton, yilgarn block, perth, western australia, officer basin",archaean,0,,,
a081348_throssel e38_1648 annual report 2008 korab_15903489_25,a081348_throssel e38_1648 annual report 2008 korab_15903489.json,25,"it is possible that the margin of the yilgarn craton formed a palaeohigh during part of the officer basin development, with leaching of uranium from oxidised portions of the basinal sediments during diagenesis, or from adjacent basement.",1,possible,2,"possible, mineralisation","the lavertonwarburton road (canning stock route) traverses through the southern and eastern tenements and lake throssell lies between the northern and eastern portions. the project is covered by 2 granted tenements and 4 tenement applications (fig.1). it is possible that the margin of the yilgarn craton formed a palaeohigh during part of the officer basin development, with leaching of uranium from oxidised portions of the basinal sediments during diagenesis, or from adjacent basement. reactivation of these bounding faults may also have enhanced localisation of areas of reduction and uranium precipitation the presence of interpreted deep seated structures and the magnetic and coincident geophysical anomalies in the project area may be indications of sulphidisation zones with gold and base metal mineralisation.",sediments,"yilgarn craton, officer basin",,0,gold,"base metal, uranium",
a081348_throssel e38_1648 annual report 2008 korab_15903489_28,a081348_throssel e38_1648 annual report 2008 korab_15903489.json,28,this drainage system therefore represents the potential for surficial type (carnotite) uranium mineralization in the lake sediments.,1,potential,2,"potential, mineralisation","reactivation of these bounding faults may also have enhanced localisation of areas of reduction and uranium precipitation the presence of interpreted deep seated structures and the magnetic and coincident geophysical anomalies in the project area may be indications of sulphidisation zones with gold and base metal mineralisation. the lake throssell system drains a significant area of granitic terrain. this drainage system therefore represents the potential for surficial type (carnotite) uranium mineralization in the lake sediments. suite 6, level 1 100 mill point rd, south perth, 6151, western australia po box z5447, st georges terrace, perth wa 6831 tel +61 8 9474 6166 fax +61 8 9481 2200 www.korabresources.com.au abn 17 082 140 252 reconnaissance drilling by bhp in 1978 approximately 40 km to the northwest of the throssell project area intersected strongly foliated archaean gneiss at relatively shallow depths of 35 40m indicating a thinning of permian and quaternary cover westwards.","gneiss, sediments","perth, western australia","archaean, permian, quaternary",0,"carnotite, gold","base metal, uranium",suite 6
a081348_throssel e38_1648 annual report 2008 korab_15903489_31,a081348_throssel e38_1648 annual report 2008 korab_15903489.json,31,one hole intersected lower proterozoic rocks with carbonate veining in siltstone and disseminated pyrite mineralisation.,1,mineralisation,1,mineralisation,"suite 6, level 1 100 mill point rd, south perth, 6151, western australia po box z5447, st georges terrace, perth wa 6831 tel +61 8 9474 6166 fax +61 8 9481 2200 www.korabresources.com.au abn 17 082 140 252 reconnaissance drilling by bhp in 1978 approximately 40 km to the northwest of the throssell project area intersected strongly foliated archaean gneiss at relatively shallow depths of 35 40m indicating a thinning of permian and quaternary cover westwards. approximately 60 km to the east of the throssell project area, a drill hole from a 1981 regional drilling program by occidental intersected proterozoic sediments at 108m, and a single diamond was found in the drill sample at 108 114 metres. one hole intersected lower proterozoic rocks with carbonate veining in siltstone and disseminated pyrite mineralisation. the best gold intercept was 5 ppb au over 4m from 20m in cemented quartz sandstone.","gneiss, sandstone, siltstone, sediments","perth, western australia","archaean, permian, proterozoic, quaternary",0,"gold, carbonate, diamond, quartz, pyrite",,suite 6
