index,event_id,filename,anumber,sentence_count,report_type,idx,event_text,triggers,label,confidence,user,lower_idx,upper_idx
416405,a094355_znc0035_e69_1771_p2012_12326918_1,a094355_znc0035_e69_1771_p2012_12326918.json,94355,12,Partial Surrender,1,"Geology: The Earaheedy Project is located on Southern margin of the Palaeoproterozoic Earaheedy Basin. Zinc lead sulphide and oxide mineralisation occurs in carbonates of the Yelma Formation. Stratabound manganese mineralisation occurs in the Frere Formation and Karri Karri Member of the Chiall Formation Work Done: Three (3) rock samples were collected, part of a regional survey targeting manganese and iron oxide Results: Low Mn and moderate Fe values were returned Conclusions: The relinquished area has low potential for significant Mn or Fe oxide mineralisation CONTENTS 1.0 INTRODUCTION . 4 3.2 Project Geology and Mineralisation 6 4.0 PREVIOUS EXPLORATION .",mineralisation,False,High,daniel,1,1
418206,a072015_tr1184 _a_2006_18170871_120,a072015_tr1184 _a_2006_18170871.json,72015,211,Annual,120,"Alteration minerals in BIF comprise hornblende and biotite as well as quartz. Gold is associated with the alteration minerals and with two opaque mineral assemblages: (i) an early sulphide-dominated assemblage of pyrite-pyrrhotite-chalcopyrite-galena; and (ii) a later telluride-bearing assemblage of hessite-petzite-altaite-Bi telluride-galena. Significant metasomatism associated with gold mineralisation is restricted to a proximal halo around auriferous zones, where SiO2 and K2O are consistently enriched and MnO is lost. The main metals accompanying gold mineralisation are Ag, Te, Pb, W and Cu. Sulphur and Fe are variably enriched and reflect the heterogeneity in the sulphide assemblage of the ore.","significant, mineralisation, enriched",False,High,daniel,120,120
418992,a081603_e57-709_2009a_9616182_245,a081603_e57-709_2009a_9616182.json,81603,387,Annual,245,"When producing these models, a few key points were observed and are worth noting as follows: For near vertical and vertical plate models, the top of the conductor is always located directly under the centre low point between the two shoulders in the classic M shaped response. As the plate is positioned at an increasing depth to the top, the shoulders of the M shaped response, have a greater separation distance. When faced with choosing between a flat lying plate and a prism model to represent the target (broad response) some ambiguity is present and caution should be exercised. With the concentric loop system and Z-component receiver coil, virtually all types of conductors and most geometries are most always well coupled and a response is generated (see model H). Only concentric loop systems can map this type of target.",broad,False,High,daniel,245,245
420438,a089594_e57_609_2011a_10328370_34,a089594_e57_609_2011a_10328370.json,89594,118,Annual,34,"Inside the perimeter defined by the intersections of these roads, a network of station tracks may be used. The tenement covers a total area of approximately 195 km2 and lies over the northern margin of the headwaters of the Yeelirrie drainage system on the Yeelirrie Pastoral Lease. Mineralisation at Yeelirrie shows a very strong response in radiometric data. Similarly, a number of granites and other areas of calcrete throughout the region show strong responses. Radiometric surveys are an excellent method for locating exposed uranium mineralisation, but are extremely limited in defining mineralisation under cover.",mineralisation,False,High,daniel,34,34
428408,a086013_maitland annual report_11313409_48,a086013_maitland annual report_11313409.json,86013,56,Annual,48,"Figure 1 below, details the tenement location plan as presented in Tengraph. This report covers exploration completed on the tenement E53/1345 known as Maitland. The geology of these prospects is detailed below. The tenement is 100% owned by Dawn Metals Ltd which is a wholly owned subsidiary of Desert Energy limited. The region surrounding the Maitland tenement package is dominated by recent sand dunes and sand plain, with regionally outcropping Archaean aged granites which were thought to be potential uranium source rocks for calcrete carnotite mineralization.",prospects,False,High,daniel,48,48
432115,a089907_wl_surrrpt_2010_12330765_60,a089907_wl_surrrpt_2010_12330765.json,89907,63,Final Surrender,60,Exploration work undertaken by Northern Minerals Limited during the period 14/12/2006- 13/12/2010 focused primarily on the assessment of historic data to assess the license area for potential sandstone-hosted roll-front uranium mineralisation. The completed work on E45/2783 comprised a compilation and review of all available data relevant to the tenement area. The data was also compiled into GIS format using the MapInfo/Discover software. 1 INTRODUCTION Page 1.1 Location and Access 1 1.2 Tenure and Agreements 1 1.3 Geological Setting 3 1.4 Exploration Target Rationale 3 2 SUMMARY OF EXPLORATION ACTIVITIES 6 3 COMPLETED EXPLORATION WORK 6 3.1 Data Compilation and Review 6 4 CONCLUSION 6 REFERENCES 7 Figure 1 Exploration Index Map Figure 2 Wallal Project and Tenement Location Map Figure 3 Wallal Project Geology Map,discover,False,High,daniel,60,60
432349,a076722_e46_517_2007a_14402356_61,a076722_e46_517_2007a_14402356.json,76722,70,Annual,61,Compilation and assessment of these data had been completed by FMG in previous years and have been reported. During this year FMG undertook a second brief RC drilling programme following extensive field reconnaissance. Tenement number Drilling Program Holes drilled Metres drilled E46/517 RC Drilling 7 162 In view of the poor correlation between the 2006/2007 holes and the old Sentinal holes it is now considered that the main mineralised areas need to be re-drilled on a regular pattern. Initially a relatively small area will be pattern drilled. If the correlation is still poor it will be necessary to re-drill the entire resource.,correlation,False,High,daniel,61,61
438533,a097201_gd_c97_2004_2012_car_01_14116583_88,a097201_gd_c97_2004_2012_car_01_14116583.json,97201,381,Annual,88,"Deep weathering has resulted in a typical regolith profile of up to 6m laterite, mottled and pallid clay down to 30m depth, saprolite to 55m and saprock down to 65m, below which the rock is fresh. Gold mineralisation is associated with quartz veining and sericite alteration, and hosted by shear zones. In the regolith the mineralized zones are iron oxide-rich and this appears to be reflected in the surface expression of mineralisation, which is marked by the localized development of a 3-6m thick iron-cemented pisolitic laterite. The main mineralized envelope appears to form a 110-120 plunging shoot dipping at approximately 30. The form of the mineralisation within the broad mineralized envelope is less well established.","mineralized, mineralisation",False,High,daniel,88,88
445860,a086272_e08_1678_2009a_11396984_31,a086272_e08_1678_2009a_11396984.json,86272,214,Annual,31,"A dolerite dyke with a radiation level at 600-630cps was another source of anomalism in the tenement (Observation point 564). Relatively low level (230-280cps) and low contrast anomalies on floodplains are of unknown nature and could be related to U and Th scavenging effect by abundant lateritic nodules and pisoliths. No visual U minerals were observed within the anomalous areas. The tenement is considered to be of low prospectivity for the unconformity-related type mineralisation in the exposed areas. However, the unconformity zone underlying the Rouse Creek arenite is likely to extend out over the areas of shallow (?)",anomalous,False,High,daniel,31,31
454060,a079462_p29_1831_2008a_9452039_19,a079462_p29_1831_2008a_9452039.json,79462,72,Annual,19,"The eastern domain shows a complex internal structure and is strongly sheared and attenuated. P29_1831_2008A.pdf P29_1831_2008A.pdf The eastern domain is complex structurally and stratigraphically with the nature of the internal divisions and lateral facies variations poorly understood. In the southern portion of the domain a sequence of predominantly quartzo-feldspathic clastic rocks, possibly facing west, occurs east of the Menzies Shear Zone. The eastern Margin of this sequence is marked by the first occurrence of prominent silicified slate and chert bands (Swager, 1991). Further north in the Yunndaga area, a well foliated basalt and sedimentary rock association is located east of the Menzies Shear Zone.",possibly,False,High,daniel,19,19
457919,a087700_pad_mer_10_vol1_17392978_333,a087700_pad_mer_10_vol1_17392978.json,87700,860,Annual,333,The other drill holes intersected elevated gold grades but of no economic value. Drilling results for PMPD0011 are pending at the time of writing this report.,"significant, mineralisation",True,High,daniel,333,334
459278,a084922_p26_3331_2009a_14984985_104,a084922_p26_3331_2009a_14984985.json,84922,138,Annual,104,Report A 053442: Same as report A 53441 and similar to A53439 and A53440 The tenement is located about 50 km southeast of Kalgoorlie on the south eastern flank of the Bulong Anticline. Soil sampling including pedogenic carbonate sampling was carried out on targets identified from the magnetics and geological mapping. No results of significance were recorded. Report A 053443: The tenement is located about 50 km southeast of Kalgoorlie on the south eastern flank of the Bulong Anticline. Initial soil sampling outlined 8 gold in soil anomalies which were followed up with more detailed sampling.,significance,False,High,daniel,104,104
473485,a081623_c121_1993_a08_15089933_81,a081623_c121_1993_a08_15089933.json,81623,280,Annual,81,"Lake Violet Sequence, comprised of felsic volcanic rocks and sedimentary units including chert and banded iron formation, and lesser amounts of mafic rocks. The Yandal Belt contains a number of regional shear zones trending mainly northnorthwest, but is also traversed by narrower, less extensive cross faults trending mainly between north and east. The shear zones and faults appear to have played an important role in the localisation of gold mineralisation. The C121-1993 Lake Violet Project tenements straddle some of the major regional shear zones and numerous cross faults (Figure 2). In the gold deposits of the Yandal Belt, the mineralisation is typically closely associated with quartz and quartz-carbonate veins.",mineralisation,False,High,daniel,81,81
474140,a076559_annual 2007 combined _final as lodged_ 22nov07_10052570_232,a076559_annual 2007 combined _final as lodged_ 22nov07_10052570.json,76559,243,Annual,232,"In excess of half the data base drilling is to depths less than 40m, in fact 80% of the drillhole data base is to depths of less than 60m. The data interrogation reveals significant strike lengths (often 200 to 400m in length) that still remain untested at depth and several structural targets that are under evaluated. Gondwana plan to focus exploration on depth extensions of known mineralised trends, sheared structural lithological contacts and to further investigate the three identified styles of gold mineralisation they have recognised within the belt to date. Gondwana intends to become a successful explorer and gold producer through the discovery and development of additional and existing resources. During the year, exploration activities included studies of a local, regional and remote nature and project evaluations.",mineralisation,False,High,daniel,232,232
489705,a105561_dmp ors e15-1097 partialsurrenderreport 01may15_290,a105561_dmp ors e15-1097 partialsurrenderreport 01may15.json,105561,327,Partial Surrender,290,"Hogans HyChips Study: Au ppm data Plot of the Au data provided for the study, showing the regions of elevated Au. Hogans HyChips Study: Au g-m data Plot of the Au data (Au g-m) provided for the study, showing the regions of elevated Au. Hogans HyChips Study: distribution of sulphates Plot of the distribution of jarosite and alunite in the samples -Most occurrences are based on a subtle jarosite feature suggesting only possible trace jarosite in the samples, these are shown in pink. -More definite jarosite occurrences are shown in orange (these are still mostly only still indicative of trace jarosite). -Three samples also contain alunite (SW of project area), these are shown in red.",possible,False,High,daniel,290,290
494942,a099788_c161-2011_2013a_17062727_20,a099788_c161-2011_2013a_17062727.json,99788,109,Annual,20,"The Kookynie Copper project lies within the Melita Volcanic Complex, a Late Archaean bimodal rhyolite/basalt volcanic succession within the Gindalbie Terrane in the Eastern Goldfields Province of the Yilgarn Craton. Exploration during the 2012/13 reporting year comprised: Soil geochemical sampling programmes (3,079 samples) Rock chip geochemical sampling programmes (111 samples) Aerial Magnetic Survey Several soil sampling programmes were completed within the project area. The main area of focus was at the Killara Formation Project where infill soil sampling was completed to further define areas of gold, base metal and/or VMS pathfinder anomalism. Ground EM surveys were completed over the highest priority geochem targets. RC drilling is planned in the coming period to test several target areas.",anomalism,False,High,daniel,20,20
500298,a089361_e28_1587_2010p_11627964_36,a089361_e28_1587_2010p_11627964.json,89361,96,Partial Surrender,36,"The average depth of the holes is 49m, with a maximum of 108m. In general, Sons of Gwalia had the complete drill hole assayed for gold with a bottom of hole sample having a 19 element suite assayed, although a small number of drill holes were 5 only assayed for gold, arsenic, copper and nickel. Low level anomalism in gold was reported in some of these drill holes and valuable information was obtained about the distribution of the Achaean lithologies beneath cover. Lamprophyres were logged in two separate drill holes in the south of the tenement. The location of the historical drill holes are shown on Figure 6.","anomalism, valuable",False,High,daniel,35,38
503291,a082502_e09_1228_2009s_14440702_37,a082502_e09_1228_2009s_14440702.json,82502,75,Final Surrender,37,"Other mineralisation noted in the WAMEX reports includes grab samples of up to 0.62% Cu and 900ppb Au; however there is no location data. Rock chips from the contact metamorphic margin of the intrusive granite returned up to 110ppm Sn and 175ppm Mo (glassy rhyolite(?) with hematite and pyrite), but no base metal assays. Note also that although up to 25% sulphides (py, po, and lesser cpy) has been noted in core, assays were restricted to Sn, W, Ta and Nb.","mineralisation, high grade, patchy, mineralisation",True,Low,daniel,36,39
521023,a091542_c194_2011_2011a_17738796_156,a091542_c194_2011_2011a_17738796.json,91542,701,Annual,156,mining of bulk samples is crucial for the determination of reef grades.,potential,True,High,daniel,156,156
524681,a096729_e30417 - surrender report - 2012_17043041_3,a096729_e30417 - surrender report - 2012_17043041.json,96729,79,Final Surrender,3,"Executive Summary E30/417 is located by travelling approximately 80km west of Menzies along the MenziesSandstone road. Access is then via the Metzke road, leading to numerous historical tracks that provide access to the north and south of the project area.",prospectivity,True,Low,daniel,3,4
530654,a076989_c99_2007_2007a_13144461_738,a076989_c99_2007_2007a_13144461.json,76989,1056,Annual,738,"Berndt (1980) indicates that because of this economic, social and cultural interaction between Aboriginal people belonging to the Western Desert Bloc (1959:84), people have been and were still - in 1959 at the time of Berndts fieldwork in the region - spreading north-west, west, south, and south-west. This is consistent with Tindale's proposition (1974) of a westward movement of Aboriginal groups in the south-western part of the Western Desert. Significantly, Berndt (1980: 7) states that a westward movement occurred long before European settlement in the region. However, because of the establishment of settlements on the desert fringe areas, such as; Laverton, Mt. Margaret Mission, Warburton Mission and Leonora, and ration depots such as Cosmo Newbury and de Gand Pty Ltd This report and the information contained herein, is subject to Copyright and may not be copied in whole or in part without the written consent of the Copyright holders being; Independence Group NL, the Mantjintjarra Aboriginal Consultants and Daniel de Gand of de Gand Pty Ltd. 20 Mulga Queen, such migratory movements gained considerable momentum.",significantly,False,High,daniel,738,738
533011,a079903_riken_westtanami_report_sept08_10227938_55,a079903_riken_westtanami_report_sept08_10227938.json,79903,289,Annual,55,This may be prospective for a low grade mineralisation high tonnage deposit depending on the radioelement composition. In addition this tenement shows limited prospectivity for gold and REE mineralisation. E80/3778 and E80/3779 contain a high priority uranium target which is coincident with a large breakaway immediately south of the Balgo community extending nearly 18km to the south. Sampling to determine the source of the uranium anomaly is recommended.,prospective,True,High,daniel,55,58
537632,a094771_bencubbin e70_4087a_2012_12591911_80,a094771_bencubbin e70_4087a_2012_12591911.json,94771,93,Annual,80,"9 AMMG E70/4087 Bencubbin Annual Report The Bencubbin greenstone belt has not been previously explored specifically for iron enrichment despite previous explorers mapping BIF outcrop and taking samples. In 2007, Rubicon Resources conducted shallow auger drilling for geochemical testwork comprising three programmes generating 1927 samples. Again, this was following up anomalous gold and base metal. The only historic hard rock drilling within AMMGs tenement is a program of 47 RAB holes drilled by Troy Resources in 1994 to test previously defined gold geochemical highs over a 4.2km strike within the greenstone belt. They were not targeting, nor did they report any BIF intersections.",anomalous,False,High,daniel,80,80
544614,a076470_m24_867_2007a_18260355_26,a076470_m24_867_2007a_18260355.json,76470,49,Annual,26,"More recently, during 1988/89 an open pit was excavated over the historical workings. During 1994 trial underground mining was undertaken via a decline from the base of the pit and accessing the orebody at 50m below surface. Gold mineralization is associated with alteration and quartz veining within the Royal Standard Fault Zone, where the structure cuts through a coarsely porphyritic basalt. The ore-body consists of a laminated quartz vein 0.3 to 1.3m wide, striking north northeast (025) and dipping steeply (75-80 degrees) to the west. The footwall consists of a moderately altered porphyritic basalt and the hanging wall is composed of a strongly foliated altered basalt.",mineralization,False,High,daniel,26,26
562448,a080490_c210-2007-2008a_12043409_77,a080490_c210-2007-2008a_12043409.json,80490,330,Annual,77,"A64009 Work for the period consisted of geophysics and aircore drilling. A single 1.5 km x 1.5 km TFMMR geophysical survey and concomitant ground magnetic survey was completed over Rubicon Resources tenements E25/326, P25/1777, and E25/273. The purpose of the survey was to accurately map the northern and southern extensions of the Lapage Splay Fault, which is believed to control on Au mineralization. The drilling program consisted of 37 aircore holes (totaling 1,911 m) within Rubicon Resources tenement E25/273 and just south of E25/273 and E25/316, to test strike extent of mineralization associated with the Lapage Shear and second order splays. Drill holes within E25/273 had an azimuth of 220 and an inclination of -60.",mineralization,False,High,daniel,77,77
566544,a078806_windanya 2008 annual report_16320948_44,a078806_windanya 2008 annual report_16320948.json,78806,52,Annual,44,"During 2007/2008 Halcyon has continued to use previously reported geological datasets and interpretations of the area, obtained as part of the acquisition of larger areas. These are essentially Aberfoyles drilling data set and Placer Domes geology and geophysical data sets. EXPLORATION ACTIVITIES 4.1 Geological Reviews The Better News prospect was reviewed as a potential mining project in the light of the increased gold price. The Aberfoyle and RAB drilling data to the north and south of Better News also reviewed to determine if there was potential for undiscovered mineralisation. 4.2 Drilling No drilling of any sort (RAB, Aircore, RC, Diamond) was undertaken during the reporting period.","prospect, potential",False,High,daniel,44,44
567911,a077143_c156_2005_2007a_10492475_8,a077143_c156_2005_2007a_10492475.json,77143,240,Annual,8,"Subject to satisfactory results from these investigations and some reconnaissance, RAB drilling may be warranted. 7 1.1 Location and Access . 7 2.1.1 Eastern Goldfields Superterrane.",prospective,True,High,daniel,8,10
574056,a097576_final surrender report e74 373 lake sharpe sub project_11205856_64,a097576_final surrender report e74 373 lake sharpe sub project_11205856.json,97576,143,Final Surrender,64,Section H also has weak mineralisation in the reduced facies above the second redox change. The second oxidised facies seems to inter-finger with the reduced here just east of the mineralisation. This seems to suggest that the oxidation was secondary and mobilised mineralisation above it and below it. It may have moved as a hard rock front or it may just be diagenetic. Traverses were selected where access existed or was easy to create off existing roads and tracks.,mineralisation,False,High,daniel,64,64
576365,a078229_c130_2006_2008a_10154560_217,a078229_c130_2006_2008a_10154560.json,78229,1532,Annual,217,"2.2.2 Mapping Methodology Target generation work in the previous reporting period identified seven TEM targets at the Eastern Ultramafic prospect that were thought prospective for nickel-sulphide mineralisation. All targets were located on the dominant ultramafic formation identified in the prospect area; a thin-flow-komatiite sequence known as the Eastern Ultramafic Belt (Burke 2006b). As a result, a surface mapping exercise was conducted within the prospect area to determine the exact extents and facing of the Eastern Ultramafic Belt with view to determining the source of the anomalies. It is generally accepted that Kambalda-type, komatiite-hosted massive nickel-sulphide deposits, such as is targeted at Eastern Ultramafic, are located at or near the basal contact of the host formation. Therefore, by establishing the facing and the basal contact position of the Eastern Ultramafic Belt relative to the TEM targets, it was thought possible to determine which of the seven targets are located in geologically prospective, basal contact positions worthy of follow-up drill-testing.",prospect,False,High,daniel,217,217
580573,a081120_iluka neale south annual report 2008_16616924_42,a081120_iluka neale south annual report 2008_16616924.json,81120,101,Annual,42,"Extreme weather conditions in the area restrict access during the summer. The best conditions are from March through to October. 1.4 Exploration History The Iluka Resources exploration rationale in the Eucla Basin has been to target mineralised sediments deposited during the multiple Eocene marine transgressions, concentrating on higher grade coarse-grained strands in regions of favourable mineral assemblage. The Neale South tenements are interpreted to cover areas of the Ooldea Shoreline which extends 1000km eastwards into South Australia. This is the same feature that hosts Ilukas Jacinth and Ambrosia Deposits.","mineralised, higher grade, favourable",False,High,daniel,42,42
3094,a071977_kurnalpi 2005_19331320_138,a071977_kurnalpi 2005_19331320.json,71977,171,Annual,138,"The basaltic doleritic units provide an excellent geochemical and rheological host for the gold mineralization. In summary previous exploration on Western Resources Pty Ltds Kurnalpi project has defined numerous zones gold mineralisation associated with quartz veined and altered zones within predominantly weathered mafic volcanics. More recent deeper drilling at one of these prospects areas, the Brilliant Prospect, has returned wide zones of gold mineralisation within strongly quartz veined and intensely altered basaltic to doleritic intrusives.",mineralization,True,High,charlie,137,139
7797,a072284_gvjv_19-2005_2006a_12505377_258,a072284_gvjv_19-2005_2006a_12505377.json,72284,654,Annual,258,"Denig, W., 1999: Trough Well, Bullfinch North Data Review, Polaris Metals NL Report No 1999-7 (unpublished). Golden Valley Joint Venture Project Combined Annual Report 2006 Polaris Metals NL Page 13 Dreverman, P., 2004 (July): 2003 Annual Report for Bullfinch North Project, E77/1010, Western Areas NL Report No E77/1010_2003A (unpublished). Evans, W. J., 1985: Annual Report on Prospecting Licence 77/206, Golden Valley Prospect, Jackson SH50-12, Western Australia, CRA Exploration Pty Ltd Report No 13613 (unpublished). Keats, W., 1991: Geology and Gold Mines of the Bullfinch-Parker Range Region, Southern Cross Province, Geological survey of Western Australia, Report No 28. Mathews, L. R., 2005: Lake Deborah Gravity Survey, Resource Potentials Report No 5009 (unpublished).","prospecting, prospect",False,High,charlie,258,258
9089,a072376_bb_2006a_10327822_344,a072376_bb_2006a_10327822.json,72376,1823,Annual,344,Holes CWD001-3 were drilled by contractor Major Drilling via an RC precollar using a UDR650 rig with a 5.5 face sampling hammer and an NQ2 sized diamond drill core tail whilst CWD004 was drilled by contractor DWDH using a UDR1000 rig with an RC pre-collar 5.5 face sampling hammer and an NQ2 sized diamond drill core tail. Holes were located via a GPS and picked up accurately by Spectrum Surveys using a DGPS.,prospect,True,Low,charlie,344,345
12990,a072451_c101_2003_2005a_14708906_67,a072451_c101_2003_2005a_14708906.json,72451,85,Annual,67,"However, the known mapped ultramafic units in the Crescent Leases are non-magnetic probably because they are sheared and retrogressed in fault zones.",mineralisation,True,Medium,charlie,67,67
22677,a073100_annual mineral exploration all 2005-6_14130454_444,a073100_annual mineral exploration all 2005-6_14130454.json,73100,2806,Annual,444,"Syncline with In-Fill 2. Stratigraphic Shearing along or within any of the above geological scenarios could cause localised gravity lows within the broader gravity low. A number of Air Core lines will permit an understanding of the gravity lows and whether they are mineralised or of no interest. There are many other gravity lows in between the two bounding magnetic anomalies further south that should be drilled if the initial exploratory holes uncover mineralisation. The following image shows a compilation of drilling (large coloured dots), geochemical surveys (small black dots) which have been gridded to show red as high gold and purple as low gold.",mineralised,False,High,charlie,444,446
22850,a073100_annual mineral exploration all 2005-6_14130454_1183,a073100_annual mineral exploration all 2005-6_14130454.json,73100,2806,Annual,1183,"Access was difficult along this densely vegetated fluvial system, and easy elsewhere with very sparsely scattered bushes/shrubs, several haul roads, and numerous old tracks and trails. The area is covered by arrays of rock chip spoil piles from previous regional RAB and RC drilling programs, which provided useful information of subsurface geology, especially in areas of little to no outcrop. Shallow trenches exposed bedrock at Blackjack and Batavia prospects. Previous studies have referred to the Gabanintha Shear - a supposed regional shear zone that links the deposits of Reedy goldfield in the south, through Yaloginda-Bluebird goldfield to Paddys Flat at Meekatharra in the north (SBM Exploration Annual Report, 1997). A more detailed interpretation was developed by Marjoribanks (1997).",prospects,False,High,charlie,1183,1185
23047,a073100_annual mineral exploration all 2005-6_14130454_2117,a073100_annual mineral exploration all 2005-6_14130454.json,73100,2806,Annual,2117,"Subordinate discrete AR anomalies occur at 10200E & 10300E on the southern traverse (Figure 2). CcAu and, to a lesser extent CN Au values, provide more subtle anomalies that would appear to more accurately define the anomalies on the southern traverse. In addition, the main anomaly on the northern traverse (61800N) is divided into discrete CcAu & CNAu anomalies with peaks at 10600E & 10750E, slightly offset to the east from the ARAu anomaly (and probably MAGLAG Geochemical Programme Chunderloo Project 5 more closely related to underlying mineralisation), while the subordinate anomalies on the southern traverse (probably occurring within colluvial soils) are more strongly developed in the weaker Cc & CN digests. Platinum & Ag the main Au anomaly is also associated with Pt and Ag responses (Figure 3): CcPt values exhibit broad backgound highs that correspond with the Au anomalies and may reflect a lithological control (ie ultramafic host?). CcAg and, to a lesser extent CNAg, also exhibit coincident anomalies with the main Au anomalous zones.",mineralisation,False,High,charlie,2116,2118
25702,a073253_e25_205_2006a_15171057_60,a073253_e25_205_2006a_15171057.json,73253,142,Annual,60,The majority of Australian deposits are located in the Yilgarn Craton of Western Australia. However a small but significant number of deposits also occur in the Pilbara Craton and in small Archaean outliers between the Yilgarn and Pilbara Cratons. Archaean lode-gold deposits so a broad range of sizes up to 1600 t gold in the Golden Mile deposit. Most average around 2 t of gold. With improving technology and gold price the economic grade of these materials has fallen from around 40 g/t in the 1890s to around 5 g/t.,broad,False,High,charlie,59,62
26605,a073306_bencubbindoirar2006_10777712_65,a073306_bencubbindoirar2006_10777712.json,73306,170,Annual,65,However a small but significant number of deposits also occur in the Pilbara Craton and in small Archaean outliers between the Yilgarn and Pilbara Cratons. Archaean lode-gold deposits so a broad range of sizes up to 1600 t gold in the Golden Mile deposit.,mineralisation,True,Low,charlie,65,66
28197,a073410_de_2006a_15311021_96,a073410_de_2006a_15311021.json,73410,122,Annual,96,The radiometric data indicates the granite is potassium rich and this may in part reflect an alteration phenomena (sericite/K fsp). The most significant production in the region came from the Cosmopolitan mine. As such the host granite is of significant exploration interest.,"mineralisation, significant",True,Low,charlie,96,98
32668,a073576_null north[1]_10899457_161,a073576_null north[1]_10899457.json,73576,170,Annual,161,Centenary Mining subsequently defined an inferred resource of 4.2mt in extensions of Hammerhead and in other on-strike mineralised zones.,mineralised,True,Low,charlie,161,161
33271,a073618_2006 arcadia  e51-361annual report_14196767_77,a073618_2006 arcadia  e51-361annual report_14196767.json,73618,174,Annual,77,"Davies to the four gold targets discovered by the aeromagnetic interpretation. His comments are below:- Magnetic Target AR1- This is described as lying within the highly prospective Mount Hope Shear and covers a zone where it is cut by an east trending mafic dyke and is considered as a possible focal point for gold mineralisation. The linear magnetic zone bifurcates into two, possibly due to a felsic intrusive, and it is conjectured that this may be subsequently folded. There is also evidence of fault dislocation along a north west trending fault zone. - 12 - The anomaly flanks Lake Annean and is covered by red clay soils hosting salt bush and other scrub.",possibly,False,High,charlie,77,78
33419,a073631_ww_e28_1294_2006ar_12769925_159,a073631_ww_e28_1294_2006ar_12769925.json,73631,195,Annual,159,"The attenuated signal was fed into input one and no gain was applied, the un-attenuated signal was fed into input two and gained by a factor of 80. The data was adjusted for the attenuator during the processing stage, prior to gain merging. Some areas were selected for follow up because they had possible slingram anomalies and the in-loop data could not be used to discriminate due to contamination by IP effects. For the follow up both sensors were therefore read in slingram mode. Full details of the equipment and data collected are given in Table 1.",possible,False,High,charlie,159,160
34423,a073701_en_ca51-2005_2006a_15785962_109,a073701_en_ca51-2005_2006a_15785962.json,73701,154,Annual,109,"Within close proximity to the eastern boundary of P77/3324, a series of +20 ppb Au auger soil anomalies are associated with a prominent BIF (Figure 4). Further detailed geological fact mapping is required in the southeastern corner of P77/3324 to help determine the source of the gold anomalism. This BIF and gold anomalism is within the Highclere Hills Shear Zone. The zinc (peak 193 ppm, Figure 9) and manganese (peak 0.17%, Figure 10) assay results from the 2004-05 auger soil program also show sporadic anomalism along this same trend. The slightly juxtaposed metal anomalies are within the sheared and mylonitic (faulted) contact zone between mafic/ultramafic and metasedimentary rocks in the southwestern and granite and mafic/ultramafic rocks in the northeastern of P77/3324.",anomalism,False,High,charlie,109,111
40969,a074026_c31_2002_2006_15950102_170,a074026_c31_2002_2006_15950102.json,74026,320,Annual,170,"In a few locations they were able to extend the surface gossans further down-dip but failed to find massive sulphides. Disseminated sulphides over 5.7m in KBD 1 diamond drill hole assayed at 0.68% Ni, with other encouraging intersections of up to 0.82% Ni over 28.9m in percussion hole KBP 28, from the oxide zone. At Jubilee the discovery of a strongly anomalous gossan led to a program of eight trenches, 33 percussion drill holes and one diamond drill hole, which failed to intersect down-dip extensions to the gossan. Along strike from Jubilee at the Acra Prospect, CRA farmed into tenements held by Jones Mining. Jones Minings intense testing of the northern, basal contact of the serpentinite at Acra consisted of trenching, numerous inclined percussion holes and 10 diamond core holes, guided by encouraging geochemistry in gossans revealed by trenching across the sinuous contact.","anomalous, extensions to the",False,High,charlie,170,171
42985,a074138_c47_2006_2006a_17196046_101,a074138_c47_2006_2006a_17196046.json,74138,102,Final Surrender,101,"Either way we have insufficient constraints to generate a meaningful density model to help design an optimal test for a potash target. The total amplitude range in the gravity field within the survey area is around 3mGal. There is no compelling evidence in the dataset to indicate the presence of a salt diapir, and the survey specifications are sufficiently tight to have confidence that no such structures exist in this area.",indicate the presence,False,High,charlie,101,101
43117,a074151_c28_1997_2006a_15918730_43,a074151_c28_1997_2006a_15918730.json,74151,138,Annual,43,"As such, the focus was again put on Mt Thirsty due to the historical drilling and rock chip Co/Ni results. The initial search focused on the north-east corner of E63/373 following up on the high grade Co found in surface rock chip samples and aircore drill holes. First pass field work conducted confirmed the location of the early high grade surface sample (1.15% Ni/1.11% Co) and existence of several historical bulldozer costeans excavated in the late sixties to early seventies. Field observations suggested good potential existed for small high grade Co/Ni ore pods close to the surface.",high grade,True,Low,charlie,43,46
43966,a074178_c110_19950_feysville_2006_annual_17037519_132,a074178_c110_19950_feysville_2006_annual_17037519.json,74178,950,Annual,132,Direct evidence of gossanous copper mineralisation along this contact was not noted however there were at least three shafts that had weathered sulphide species as well as minor malachite and azurite near the collar of the shafts. These shafts are located approx 100m west of the collar for FEC739 and are located at or near the mapped contact of the shale (Figure 4).,significant,True,Medium,charlie,132,133
